REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
PYRt2p,0.0,0.0,1.19,-28.5,30.88
RADH,40.65,10.59,-49.3,-129.44,30.83
RADH2,44.08,10.59,-48.83,-128.97,31.31
RADH3,40.65,10.59,-49.3,-129.44,30.83
RADH4,44.08,10.59,-48.83,-128.97,31.31
RAHY,-451.98,7.18,-403.32,-464.9,-288.29
RAI1,7.7,4.73,7.7,-31.26,46.66
RAI2,0.0,0.0,0.0,-29.69,29.69
RAI3,-0.0,0.0,-0.0,-29.69,29.69
RAtn,0.0,0.0,0.0,-29.69,29.69
RAtn3,0.0,0.0,0.0,-29.69,29.69
RBK_D,28.56,5.47,-11.55,-81.65,58.54
RBTt,0.0,0.0,-0.0,-29.69,29.69
RDH1,53.79,5.46,8.08,-62.01,78.16
RDH1a,57.22,5.49,8.55,-61.59,78.68
RDH2,53.79,5.46,8.08,-62.01,78.16
RDH2a,57.22,5.49,8.55,-61.59,78.68
RDH3,61.48,7.23,15.77,-57.77,89.31
RDH3a,64.91,7.25,16.25,-57.33,89.82
RDH4,53.79,5.46,8.08,-62.01,78.16
RETFAt,0.0,0.0,0.0,-29.69,29.69
RETFAt1,0.0,0.0,0.0,-29.69,29.69
RETFAt2,0.0,0.0,0.0,-29.69,29.69
RETI1,0.0,0.0,0.0,-29.69,29.69
RETI2,0.0,0.0,0.0,-29.69,29.69
RETI3,0.0,0.0,0.0,-29.69,29.69
RETNCOA,-22.73,2.76,-15.47,-109.94,79.0
RETNGLCt,0.0,0.0,-2.89,-32.58,26.79
RETNGLCt2,0.0,0.0,-2.89,-32.58,26.79
RETNGLCt2r,0.0,0.0,0.0,-29.69,29.69
RETNGLCtr,0.0,0.0,0.0,-29.69,29.69
RETNt,0.0,0.0,-2.89,-32.58,26.8
RETNtr,0.0,0.0,0.0,-29.69,29.69
RETNtr2,0.0,0.0,0.0,-29.69,29.69
RIBFLVt3,11.33,4.76,-29.43,-139.69,27.39
RIBt,0.0,0.0,0.0,-29.69,29.69
RIBt2,0.0,0.0,-1.71,-31.4,27.98
RNMK,3.74,10.79,-33.41,-113.94,47.11
RTOTAL2CRNt,0.0,0.0,0.0,-29.69,29.69
RTOTAL2t,0.0,0.0,2.89,-26.79,32.58
RTOTAL3CRNt,0.0,0.0,0.0,-29.69,29.69
RTOTAL3t,0.0,0.0,2.89,-26.79,32.58
RTOTALCRNt,0.0,0.0,0.0,-29.69,29.69
RTOTALt,0.0,0.0,2.89,-26.79,32.58
Rtotaltl,0.0,0.0,-1.83,-31.52,27.86
Rtotaltp,0.0,0.0,-1.19,-30.88,28.5
S2L2FN2M2MASNt,0.0,0.0,-5.79,-35.48,23.9
S2L2FN2M2MASNtly,0.0,0.0,2.12,-27.57,31.81
S2L2N2M2MASNtly,0.0,0.0,2.12,-27.57,31.81
SACCD3m,-86.4,6.71,-30.17,-90.82,83.93
SACCD4m,72.08,7.74,18.47,-97.64,81.15
SADT,-8.04,5.08,44.96,-24.39,114.3
SARCOXp,-60.4,16.48,-60.43,-193.66,19.37
SARCStex,0.0,0.0,0.0,-29.69,29.69
SARCStm,0.0,0.0,-0.02,-29.71,29.67
SARCStp,0.0,0.0,0.0,-29.69,29.69
SARDHm,26.63,15.74,23.81,-96.12,143.73
SBPP1er,-15.57,2.45,-18.65,-94.71,3.98
SBPP3er,-15.57,2.45,-18.65,-94.72,3.97
SBTD_D2,54.52,4.99,8.81,-60.34,77.97
SBTR,-58.04,5.04,-9.37,-78.62,59.88
SCP21x,0.0,0.0,-4.76,-34.45,24.93
SCP22x,0.0,0.0,-2.38,-32.07,27.3
SCP2x,-49.93,47.49,-49.63,-552.42,613.48
SCPx,-16.47,5.29,-16.43,-86.18,53.32
SEAHCYStn,0.0,0.0,0.0,-29.69,29.69
SEASMETtn,0.0,0.0,0.0,-29.69,29.69
SELt4_3,0.0,0.0,-3.22,-121.98,115.53
Ser_Thrtg,0.0,0.0,0.0,-29.69,29.69
SERALANaEx,0.0,0.0,-2.97,-92.04,86.1
SERASNNaEx,0.0,0.0,-3.1,-92.16,85.97
SERCYSNaEx,0.0,0.0,-2.99,-92.06,86.07
SERDGLNexR,0.0,0.0,0.03,-59.35,59.4
SERDGLYexR,0.0,0.0,0.02,-59.35,59.4
SERGLNexR,0.0,0.0,0.03,-59.35,59.4
SERGLNNaEx,0.0,0.0,-2.98,-92.04,86.09
SERGLYexR,0.0,0.0,0.02,-59.35,59.4
SERLYSNaex,0.0,0.0,-0.07,-89.14,89.0
SERPT,-34.44,8.1,7.36,-109.46,70.74
SERt4,0.0,0.0,-2.96,-62.33,56.42
SERTHRNaEx,0.0,0.0,-3.0,-92.06,86.07
SERtN1,0.0,0.0,-4.25,-93.32,84.81
SERtp,0.0,0.0,0.03,-29.66,29.72
SFGTH,29.68,7.33,-14.57,-100.19,17.62
SGALSIDEtg,0.0,0.0,0.0,-29.69,29.69
SGALSIDEtl,0.0,0.0,-1.83,-31.52,27.86
SGPL11r,5.9,3.33,5.89,-71.88,30.22
SGPL12r,-76.16,13.39,-120.41,-217.91,-76.36
SLCBK1,26.9,5.32,-10.4,-80.22,59.41
SLDt,0.0,0.0,-5.79,-35.48,23.9
SLDx,55.92,5.1,10.21,-59.17,79.59
SLDxm,55.92,5.1,5.46,-63.92,74.84
SO4CLtex2,0.0,0.0,8.68,-80.38,97.75
SO4HCOtex,0.0,0.0,0.07,-89.0,89.14
SO4OXAtex2,0.0,0.0,5.79,-83.28,94.86
SO4t4_2,0.0,0.0,-0.22,-89.28,88.85
SO4tl,0.0,0.0,3.67,-26.02,33.36
SPC_HSt,0.0,0.0,2.89,-26.8,32.58
SPH1Pte,0.0,0.0,-2.8,-32.49,26.89
SPH1Ptr,0.0,0.0,0.0,-29.69,29.69
SPHGNtr,0.0,0.0,0.0,-29.69,29.69
SPHINGStl,0.0,0.0,1.86,-27.83,31.55
SPHINGStr,0.0,0.0,0.0,-29.69,29.69
SPHK21c,26.9,5.32,-10.4,-80.21,59.42
SPHMYLNtg,0.0,0.0,-0.0,-29.69,29.69
SPHMYLNtl,0.0,0.0,-0.0,-29.69,29.69
SPHS1Pte,0.0,0.0,-2.8,-32.49,26.89
SPHS1Ptr,0.0,0.0,0.0,-29.69,29.69
SPMDOX,-80.17,16.34,-77.21,-210.18,2.32
SPR,-118.69,10.23,-21.36,-130.48,87.76
SPRn,-118.69,10.23,-21.36,-130.48,87.76
SPTix,4.11,1.25,4.15,-57.69,65.98
SQLEr,-460.93,9.51,-412.26,-478.4,-292.68
SQLSr,-223.19,10.46,-168.49,-319.64,-70.79
SR5AR2r,-93.21,16.72,-44.54,-136.7,47.61
SR5ARr,-89.7,16.76,-41.04,-133.27,51.2
SRTN23OX,-356.82,16.01,-356.86,-406.05,-254.22
SRTNACT,35.42,5.91,-7.39,-78.36,63.58
SRTNt6_2_r,0.0,0.0,-2.88,-151.33,145.56
SRTNtu,0.0,0.0,-2.88,-32.57,26.81
STCOAtx,0.0,0.0,-4.76,-34.45,24.93
STRDNCCPT1,-6.88,3.21,-6.94,-72.6,58.73
STRDNCCPT2,6.88,3.21,7.24,-58.43,72.9
STRDNCCRNt,0.0,0.0,0.0,-29.69,29.69
STRDNCt,0.0,0.0,2.89,-26.8,32.58
SUCCt2m,0.0,0.0,-0.33,-59.71,59.05
SUCCt4_2,0.0,0.0,-0.23,-89.29,88.84
SUCCtp,0.0,0.0,-2.39,-32.08,27.3
SUCD1m,40.72,5.78,38.14,-32.57,108.84
SUCOAS1m,1.03,0.75,1.5,-89.04,92.05
SUCOASm,-2.65,2.15,-2.38,-95.67,90.9
SUCRe,-25.46,2.06,-25.47,-100.75,-3.62
T2M26DCOAHLm,1.26,3.8,1.26,-35.87,38.38
T2M26DCOAHLx,1.26,3.8,1.26,-35.87,38.38
T4HCINNMFM,11.35,2.92,11.35,-24.06,46.76
T4HCINNOX,-416.94,8.55,-416.99,-481.26,-299.29
TAGAT_Dt,0.0,0.0,0.0,-29.69,29.69
TAGt,0.0,0.0,-0.0,-29.69,29.69
TAURt4_2_r,0.0,0.0,-5.99,-95.05,83.08
TAURtcx,0.0,0.0,1.03,-58.34,60.41
TAXOLte,0.0,0.0,-23.75,-53.44,5.94
TCHOLAt,0.0,0.0,-2.86,-62.24,56.52
TCHOLAt2,0.0,0.0,-6.01,-95.07,83.06
TCHOLAte,0.0,0.0,0.0,-29.69,29.69
TCHOLAtx,0.0,0.0,-0.0,-29.69,29.69
TCYNTt,0.0,0.0,-2.89,-32.58,26.79
TCYNTtm,0.0,0.0,-14.96,-44.64,14.73
TDCHOLAte,0.0,0.0,0.0,-29.69,29.69
TDCHOLAtx,0.0,0.0,-0.0,-29.69,29.69
TDP,10.74,6.74,-30.59,-115.06,0.43
TDPDRR,-67.29,6.39,-18.61,-90.52,53.29
TDPm,10.74,6.74,-30.44,-114.91,0.59
TETHEX3COAtx,0.0,0.0,-4.76,-34.45,24.93
TETHEX3t,0.0,0.0,2.89,-26.8,32.58
TETPENT3COAtx,0.0,0.0,-4.76,-34.45,24.93
TETPENT3CRNt,0.0,0.0,0.0,-29.69,29.69
TETPENT3t,0.0,0.0,2.89,-26.8,32.58
TETPENT6COAtx,0.0,0.0,-4.76,-34.45,24.93
TETPENT6CRNt,0.0,0.0,0.0,-29.69,29.69
TETPENT6t,0.0,0.0,2.89,-26.8,32.58
TETTET6COAtx,0.0,0.0,-4.76,-34.45,24.93
TETTET6CRNt,0.0,0.0,0.0,-29.69,29.69
TETTET6t,0.0,0.0,2.89,-26.8,32.58
THCHOLSTOICtm,0.0,0.0,-16.15,-45.84,13.54
THD1m,3.43,0.54,-19.23,-79.68,41.21
THFt2,0.0,0.0,5.79,-23.9,35.48
THFtl,0.0,0.0,-3.72,-33.41,25.97
THFtm,0.0,0.0,29.91,0.22,59.6
THMDt4,0.0,0.0,-3.0,-62.38,56.38
THMMPt4,0.0,0.0,2.74,-26.95,32.43
THMMPtm,0.0,0.0,15.32,-14.37,45.01
THMP,-18.15,6.0,-21.19,-104.21,8.39
THMPPtm,0.0,0.0,25.73,-3.96,55.41
THMt2m,0.0,0.0,-34.58,-64.27,-4.89
THMTP,9.77,5.37,-32.2,-113.98,-3.87
THMTPt,0.0,0.0,-9.73,-39.42,19.96
THP2Ctp,0.0,0.0,-1.27,-30.96,28.42
THRALANaEx,0.0,0.0,-2.98,-92.04,86.09
THRASNNaEx,0.0,0.0,-3.1,-92.17,85.96
THRCYSNaEx,0.0,0.0,-3.0,-92.07,86.07
THRGLNexR,0.0,0.0,0.02,-59.36,59.4
THRGLNNaEx,0.0,0.0,-2.98,-92.05,86.08
THRGLYexR,0.0,0.0,0.02,-59.36,59.39
THRSERNaEx,0.0,0.0,-3.01,-92.08,86.06
THRt4,0.0,0.0,-2.96,-62.34,56.41
THYMDt1,0.0,0.0,0.0,-29.68,29.69
THYMDtl,0.0,0.0,-0.01,-29.7,29.68
THYMDtm,0.0,0.0,-0.04,-29.73,29.65
THYMt,0.0,0.0,0.0,-29.68,29.69
THYOXt,0.0,0.0,-2.16,-61.54,57.22
THYOXt2,0.0,0.0,0.7,-28.99,30.39
TMABADH,46.17,9.69,-42.29,-120.67,36.08
TMDK1m,21.33,7.16,-23.36,-96.78,50.05
TMDPP,3.28,7.23,3.57,-69.97,77.11
TMDPPK,1.56,2.53,3.15,-61.18,67.49
TMLYSOX,-450.76,7.54,-450.84,-554.67,-347.0
TMLYSter,0.0,0.0,0.0,-29.69,29.69
TMNDNCCOAtx,0.0,0.0,-4.76,-34.45,24.93
TMNDNCCRNt,0.0,0.0,0.0,-29.69,29.69
TMNDNCt,0.0,0.0,2.89,-26.8,32.58
TOLBUTAMIDEte,0.0,0.0,-0.0,-29.69,29.69
TRDR2,-174.5,13.12,-125.84,-210.93,-40.74
TRDR3,-171.07,13.12,-125.36,-210.45,-40.28
TRDRm,34.1,5.29,87.52,17.76,157.27
TREH,-11.68,1.74,-11.68,-86.34,9.54
TREHe,-11.68,1.74,-11.68,-86.34,9.54
TRIODTHYSUFt,0.0,0.0,-2.92,-32.61,26.77
TRIODTHYt,0.0,0.0,-2.73,-62.11,56.65
TRIODTHYt2,0.0,0.0,0.13,-29.56,29.82
TRIOK,14.09,5.27,-26.0,-95.7,43.71
TRPO2,-364.69,14.92,-364.74,-411.8,-264.25
TRPt4,0.0,0.0,-2.99,-62.36,56.39
TRYPTAOX,-89.02,8.97,-89.07,-207.58,-24.0
TS3,0.0,0.0,0.0,-29.69,29.69
TSTSTERONEGLCte,11.33,4.76,-29.05,-139.31,27.77
TSTSTERONEGLCtr,0.0,0.0,0.0,-29.69,29.69
TSTSTERONESte,0.0,0.0,-2.89,-32.58,26.79
TSTSTERONEt,0.0,0.0,0.0,-29.69,29.69
TSTSTERONEtr,0.0,0.0,0.0,-29.69,29.69
TSULt4_3,0.0,0.0,-2.8,-121.55,115.96
TTDCAtr,0.0,0.0,2.89,-26.8,32.58
TTDCPT2,6.88,3.21,7.24,-58.43,72.9
TTDCRNt,0.0,0.0,0.0,-29.69,29.69
TXA2te,0.0,0.0,2.89,-26.79,32.58
TXA2tr,0.0,0.0,0.0,-29.69,29.69
TXASr,23.01,20.48,23.02,-46.81,92.84
TYMSFt,0.0,0.0,-0.01,-29.7,29.68
TYRCBOX,-116.42,10.14,-73.63,-164.77,-35.94
TYRDOPO,-537.99,18.75,-538.03,-622.28,-400.33
TYRDOPO3,-286.51,25.58,-286.51,-384.16,-135.42
TYROXDAc,-89.02,8.97,-89.09,-207.61,-24.02
TYRt,0.0,0.0,0.03,-29.66,29.72
TYRt4,0.0,0.0,-2.98,-62.35,56.4
TYRTAm,-1.2,3.34,0.11,-65.83,66.04
UAG2EMAi,25.18,7.16,-27.11,-112.4,4.75
UAGALDP,-54.95,6.69,-1.68,-74.17,70.81
UDPACGALtl,0.0,0.0,-3.63,-33.31,26.06
UDPG1P,54.32,12.27,-35.73,-131.03,6.13
UDPGALt2g,0.0,0.0,0.04,-29.65,29.73
UDPGALtg,0.0,0.0,0.49,-58.89,59.87
UDPGD,107.38,14.72,-31.26,-149.18,86.65
UDPGLCAter,0.0,0.0,0.0,-59.38,59.38
UDPGLCAtg,0.0,0.0,-0.52,-59.9,58.86
UDPGLCter,0.0,0.0,0.0,-59.38,59.38
UDPGLCtg,0.0,0.0,0.49,-58.89,59.87
UDPGLDCg,-47.81,7.54,-5.65,-91.69,26.94
UDPGNP,33.46,6.36,-15.83,-99.56,14.45
UDPGP,51.5,11.26,-38.62,-131.94,1.27
UDPtl,0.0,0.0,-0.66,-30.35,29.03
UDPXYLter,0.0,0.0,0.0,-59.38,59.38
UDPXYLtg,0.0,0.0,0.49,-58.89,59.87
UGALGTg,45.15,5.81,1.42,-69.34,72.19
UGALNACter,0.0,0.0,0.0,-59.38,59.38
UGALNACtg,0.0,0.0,0.49,-58.89,59.87
UGLCNACtg,0.0,0.0,0.49,-58.89,59.87
UGT1A10r,23.24,10.83,108.13,27.53,188.73
UGT1A2r,1.73,9.69,-8.38,-116.43,99.67
UGT1A3r,43.08,3.96,38.02,-29.12,105.17
UGT1A4r,44.83,4.18,39.78,-27.8,107.35
UGT1A5r,0.86,4.84,-4.18,-73.05,64.69
UGT1A5r2,0.86,4.84,-4.18,-73.05,64.69
UGT1A7r,43.08,3.96,38.02,-29.12,105.17
UMPK2,7.02,6.7,4.82,-67.7,77.33
UMPK2n,7.02,6.7,4.82,-67.7,77.33
UMPK3,4.19,4.73,2.09,-66.56,70.74
UMPK3n,4.19,4.73,2.09,-66.56,70.74
UMPK4,7.02,5.58,4.85,-65.46,75.16
UMPK4n,7.02,5.58,4.85,-65.46,75.16
UMPK5,0.67,5.85,-1.54,-72.38,69.3
UMPK5n,0.67,5.85,-1.54,-72.38,69.3
UMPK6,1.69,6.8,-0.51,-73.23,72.2
UMPK6n,1.69,6.8,-0.51,-73.23,72.2
UMPK7,3.95,6.8,1.79,-70.93,74.5
UMPK7n,3.95,6.8,1.79,-70.93,74.5
UMPKm,3.35,5.15,-3.63,-73.1,65.84
UMPKn,3.35,5.15,1.14,-68.33,70.61
UMPtr,0.0,0.0,0.0,-29.69,29.69
UNK2,-48.96,10.24,38.0,-41.45,117.45
UPPN,-135.42,15.96,-48.5,-192.59,-11.28
URAt,0.0,0.0,0.01,-29.68,29.7
URATEt,0.0,0.0,-0.57,-30.26,29.12
URATEtx,0.0,0.0,-0.43,-30.12,29.26
UREAt5,0.0,0.0,0.0,-29.69,29.69
UREAtm,0.0,0.0,-0.0,-29.69,29.69
URIDK2m,3.17,2.57,-3.8,-68.21,60.61
URIK1,14.78,8.79,-25.3,-101.91,51.31
URIt,0.0,0.0,0.01,-29.68,29.7
URIt4,0.0,0.0,-3.0,-62.37,56.38
Uritl,0.0,0.0,-0.01,-29.7,29.67
Uritm,0.0,0.0,-0.08,-29.76,29.61
Uritn,0.0,0.0,0.0,-29.69,29.69
UROLACer,-13.99,7.05,30.25,-13.26,73.75
UTPtn,0.0,0.0,0.0,-29.69,29.69
VACCt,0.0,0.0,2.89,-26.8,32.58
VALt4,0.0,0.0,-2.99,-62.37,56.38
VALt5m,0.0,0.0,-0.09,-29.78,29.59
VALTAm,-8.53,5.97,-7.16,-78.24,63.91
VALtec,0.0,0.0,0.01,-29.68,29.7
VD3,4.79,4.54,4.79,-33.8,43.37
VITD2Hm,-450.36,7.01,-396.95,-458.19,-282.26
VITD2t,0.0,0.0,-0.0,-29.69,29.69
VITD2tm,0.0,0.0,-0.0,-29.69,29.69
VITD3Hm,-450.36,7.01,-396.95,-458.19,-282.26
VITD3t,0.0,0.0,0.0,-29.69,29.69
VITD3tm,0.0,0.0,-0.0,-29.69,29.69
VITD3tm3,0.0,0.0,0.0,-29.69,29.69
VLCS2p,-22.73,2.76,-16.18,-110.65,78.29
VLCS2r,-22.73,2.76,-15.47,-109.94,79.0
VLCSp,-22.73,2.76,-16.18,-110.65,78.28
VLCSr,-22.73,2.76,-15.47,-109.94,78.99
WHDDCAte,0.0,0.0,2.89,-26.8,32.58
WHHDCAte,0.0,0.0,2.89,-26.8,32.58
WHTSTSTERONEte,0.0,0.0,-0.0,-29.69,29.69
WHTTDCAte,0.0,0.0,2.89,-26.79,32.58
XANDp,23.15,9.44,-22.31,-100.19,55.57
XANtx,0.0,0.0,0.0,-29.69,29.69
XAO2x,-118.87,9.79,-118.74,-197.3,-40.18
XAOx,-152.29,10.58,-153.22,-233.34,-73.1
XOL27OHtm,0.0,0.0,0.0,-29.69,29.69
XOL7AH2tm,0.0,0.0,0.0,-29.69,29.69
XOL7AH2tr,0.0,0.0,0.0,-29.69,29.69
XOL7AONEtr,0.0,0.0,0.0,-29.69,29.69
XOLDIOLONEt,0.0,0.0,0.0,-29.69,29.69
XOLDIOLONEtm,0.0,0.0,-0.0,-29.69,29.69
XOLEST2te,0.0,0.0,-0.0,-29.69,29.69
XOLESTte,0.0,0.0,0.0,-29.69,29.69
XOLTRI24tc,0.0,0.0,0.0,-29.69,29.69
XOLTRI24te,0.0,0.0,0.0,-29.69,29.69
XOLTRI25tc,0.0,0.0,0.0,-29.69,29.69
XOLTRI25te,0.0,0.0,-0.0,-29.69,29.69
XOLTRI27tc,0.0,0.0,0.0,-29.69,29.69
XOLTRI27te,0.0,0.0,0.0,-29.69,29.69
XOLTRIOLtm,0.0,0.0,-0.0,-29.69,29.69
XOLTRIOLtr,0.0,0.0,0.0,-29.69,29.69
XSERtg,0.0,0.0,0.0,-29.69,29.69
XYLK,24.99,5.57,-15.13,-85.41,55.16
XYLTD_Dr,51.86,5.85,6.14,-64.7,76.99
XYLtly,0.0,0.0,-0.0,-29.69,29.69
XYLTt,0.0,0.0,0.0,-29.69,29.69
XYLUR,-55.29,5.86,-6.62,-77.49,64.25
YVITEt,0.0,0.0,0.0,-29.69,29.69
r0002,0.0,0.0,0.0,-29.69,29.69
r0009,24.76,4.74,-16.52,-97.06,10.59
r0013,-11.12,5.82,-11.12,-93.79,18.1
r0016,-195.12,33.21,-30.79,-202.76,194.62
r0021,61.21,4.92,13.95,-43.2,124.54
r0022,61.21,4.92,8.86,-48.28,119.45
r0027,39.66,11.63,-9.01,-79.29,114.72
r0028,9.45,4.76,-28.81,-109.38,-1.67
r0033,45.77,6.69,-4.96,-77.45,67.53
r0034,102.52,16.38,-33.87,-184.72,116.99
r0047,-13.45,2.28,-13.5,-89.22,8.77
r0051,35.14,2.16,20.22,-43.39,83.82
r0055,65.08,10.15,-27.82,-107.1,51.46
r0062,11.16,4.8,-38.18,-118.85,-10.95
r0074,45.81,10.16,-53.52,-132.82,25.78
r0081,-1.46,0.86,-0.06,-61.11,61.0
r0083,-47.58,8.52,4.37,-83.59,38.88
r0084,-47.58,8.52,-1.57,-89.52,32.95
r0085,6.24,6.36,3.22,-80.49,33.5
r0086,6.24,6.36,2.94,-80.77,33.22
r0093,51.5,11.26,-40.93,-134.25,-1.04
r0113,25.18,7.16,-27.11,-112.4,4.75
r0119,-0.94,5.61,-37.91,-120.16,-9.1
r0122,-71.31,5.24,-28.39,-98.04,41.25
r0129,-17.63,5.22,-18.14,-99.62,9.9
r0130,-17.63,5.22,-18.39,-99.87,9.65
r0139,7.21,6.71,-30.99,-115.39,-0.03
r0142,-174.36,8.98,-165.67,-242.65,-88.68
r0149,15.0,6.4,-26.36,-110.16,4.01
r0153,-71.3,6.47,-28.36,-100.41,43.69
r0156,-11.86,3.6,-11.85,-78.28,54.58
r0157,-11.86,3.6,-11.79,-78.23,54.64
r0160,4.11,1.25,4.17,-57.66,66.01
r0163,-58.51,7.71,-12.44,-86.93,62.05
r0165,-68.48,5.2,-25.63,-95.2,43.94
r0166,-4.6,7.81,-42.01,-128.57,-8.88
r0170,-169.44,11.99,-166.43,-249.31,-83.55
r0173,69.92,4.79,25.41,-43.36,94.17
r0178,45.97,10.28,-54.96,-134.49,24.57
r0179,49.4,10.29,-54.49,-134.03,25.05
r0181,7.59,5.29,-33.16,-114.78,-4.99
r0186,-37.81,6.6,-40.92,-166.68,-22.05
r0191,27.97,5.25,-17.8,-87.47,51.87
r0193,42.75,9.66,-2.96,-134.71,21.92
r0196,19.35,5.41,17.55,-52.42,87.52
r0202,68.63,4.88,24.24,-44.69,93.18
r0205,-102.44,12.29,-102.38,-185.84,-18.92
r0208,-65.21,7.33,-12.06,-85.81,61.68
r0210,-67.0,8.41,-22.75,-57.04,64.99
r0224,-68.63,5.09,-22.91,-92.26,46.43
r0226,-72.06,5.06,-18.6,-87.88,50.69
r0236,27.35,9.32,-18.37,-96.01,59.26
r0239,25.16,13.22,-19.08,-116.24,24.63
r0242,-12.2,3.51,-12.43,-90.55,12.26
r0245,85.28,5.73,36.62,-33.99,107.22
r0246,85.28,5.73,31.86,-38.74,102.47
r0249,2.16,1.23,2.09,-30.02,34.2
r0267,-434.69,6.94,-388.98,-450.09,-274.43
r0268,-438.12,6.95,-389.45,-450.58,-274.89
r0280,-64.95,5.53,-22.0,-92.21,48.21
r0281,-89.02,8.97,-87.64,-206.15,-22.56
r0283,-4.63,10.99,-41.97,-152.57,68.62
r0287,-37.75,3.3,-36.83,-102.68,29.03
r0308,-19.85,6.03,23.24,-6.39,106.31
r0309,122.56,6.06,69.14,-2.13,140.4
r0310,-51.94,12.66,-51.97,-136.17,32.23
r0311,-13.63,12.41,-6.36,-119.75,107.03
r0317,8.29,1.83,8.29,-24.98,41.57
r0321,-9.61,2.3,-0.89,-94.46,92.69
r0330,-48.0,8.53,-2.29,-78.39,73.82
r0331,-48.0,8.53,2.5,-73.61,78.6
r0340,28.73,4.84,-18.81,-87.67,50.05
r0354,16.3,5.32,-23.29,-93.1,46.51
r0355,17.36,5.51,-22.69,-92.87,47.5
r0357,18.94,5.36,-20.67,-90.55,49.21
r0358,19.99,5.54,-20.06,-90.29,50.17
r0360,13.57,5.51,-26.02,-96.21,44.16
r0361,14.63,5.69,-25.42,-95.95,45.12
r0363,33.18,7.44,-3.92,-77.89,70.05
r0364,34.23,7.25,-3.32,-76.9,70.26
r0365,66.25,6.69,15.79,-56.7,88.28
r0377,26.99,6.4,-13.06,-84.98,58.87
r0383,-52.24,7.21,-3.28,-76.8,70.24
r0384,-48.65,7.74,1.74,-72.81,76.29
r0385,-40.34,7.18,8.61,-64.84,82.05
r0386,-48.65,8.57,0.29,-75.88,76.46
r0388,-91.57,9.72,-91.75,-211.74,-25.19
r0389,-105.35,7.54,-105.94,-180.09,-31.78
r0390,-8.51,1.38,-8.51,-82.46,12.0
r0391,64.29,6.69,5.72,-66.77,78.2
r0393,33.99,9.79,-65.45,-144.02,13.11
r0394,56.56,8.52,11.06,-65.03,87.14
r0395,-118.87,9.79,-118.67,-197.22,-40.11
r0400,-219.34,11.59,-265.05,-394.65,-82.02
r0402,-59.35,5.12,-10.68,-80.08,58.72
r0407,5.48,5.46,11.24,-70.72,39.76
r0408,35.77,7.27,-9.96,-83.58,63.66
r0409,36.62,7.53,-9.01,-83.15,65.14
r0410,-8.99,6.52,-46.58,-130.62,-15.98
r0413,-68.24,6.53,-25.33,-97.5,46.85
r0423,54.97,7.13,1.55,-71.8,74.9
r0424,54.97,7.13,7.5,-65.85,80.85
r0425,51.54,7.12,1.08,-72.26,74.41
r0426,0.67,1.83,0.66,-32.61,33.94
r0434,1.98,4.73,1.92,-66.73,70.56
r0437,1.98,4.73,1.94,-66.71,70.59
r0438,-6.88,3.21,1916.89,1851.23,1982.56
r0440,-6.88,3.21,1863.47,1797.81,1929.14
r0444,-6.88,3.21,1831.39,1765.72,1897.05
r0446,-6.88,3.21,-7.24,-72.9,58.43
r0450,-0.72,4.73,-0.71,-69.36,67.94
r0451,-56.92,7.69,-6.52,-80.96,67.92
r0456,24.73,6.4,-15.33,-87.25,56.6
r0463,-22.44,6.36,26.54,-45.31,98.38
r0464,43.91,10.11,-57.0,-136.2,22.2
r0470,133.83,8.26,133.83,58.26,209.4
r0472,130.33,5.72,130.33,59.74,200.92
r0474,127.97,5.05,127.97,58.68,197.25
r0475,128.27,5.21,128.26,58.68,197.85
r0483,1.35,3.59,2.63,-63.79,69.06
r0488,95.74,9.98,-7.45,-104.2,142.75
r0494,8.5,6.71,-29.63,-114.03,1.33
r0497,11.38,6.57,-29.89,-114.02,0.8
r0502,23.15,9.44,-23.93,-101.81,53.95
r0504,-152.29,10.58,-153.65,-233.77,-73.53
r0509,-66.14,12.65,-66.17,-150.33,18.0
r0512,18.61,5.09,18.61,-50.74,87.96
r0514,-22.04,5.06,-19.05,-88.34,50.24
r0517,-55.9,6.98,-2.58,-87.52,28.92
r0522,57.93,13.3,7.47,-48.3,63.23
r0523,-46.6,12.44,-40.78,-166.1,31.1
r0525,68.65,7.73,18.0,-98.09,80.65
r0527,-6.89,11.7,-9.84,-104.02,30.9
r0531,23.66,6.28,-16.29,-87.98,55.41
r0537,-5.9,3.33,-5.89,-30.22,71.88
r0541,-131.78,14.65,-76.9,-206.56,-0.68
r0545,55.51,10.19,-34.44,-113.78,44.91
r0546,55.51,10.19,-43.94,-123.28,35.41
r0547,58.94,10.19,-33.97,-113.33,45.39
r0548,58.94,10.19,-43.47,-122.83,35.89
r0549,40.48,10.11,-57.47,-136.66,21.72
r0552,46.17,9.69,-42.29,-120.66,36.08
r0553,49.6,9.7,-41.82,-120.2,36.57
r0555,-29.78,2.8,-29.46,-94.32,35.41
r0556,23.32,4.97,28.88,-40.23,98.0
r0557,-26.9,2.9,-32.46,-97.52,32.59
r0558,46.17,9.69,-43.66,-122.03,34.71
r0559,129.26,8.47,173.38,97.4,249.36
r0560,-74.12,12.31,-74.15,-157.65,9.36
r0561,-26.9,2.9,-26.57,-91.63,38.48
